script,category,status,evidence_type,verdict,best_score,configs_tested,artifact_path,machine_readable,rerun_recommended,reason
agent_k4_columnar7_nonen_scan.py,infrastructure,ran_with_artifact,json,NOISE,—,—,results/agent_k4_columnar7_nonen_scan.json,yes,no,Verdict is final: NOISE
agent_k4_keystream_language_scan.py,infrastructure,ran_with_artifact,json,NOISE,—,—,results/agent_k4_keystream_language_scan.json,yes,no,Verdict is final: NOISE
build_experiment_ledger.py,infrastructure,unverified,self,TOOL,—,—,,no,no,Verdict is final: TOOL
card_cipher_stats.py,infrastructure,ran_no_artifact,inferred,NOISE,—,analytical,,no,no,Verdict is final: NOISE
corpus_scanner.py,infrastructure,ran_with_artifact,json,DOCUMENTED,—,60+ texts,results/corpus_scan/corpus_scan_wave2_results.json,yes,no,Documented in inventory but no formal verdict
corpus_scanner_wave2.py,infrastructure,ran_with_artifact,json,DOCUMENTED,—,120+ texts,results/corpus_scan/corpus_scan_wave2_results.json,yes,no,Documented in inventory but no formal verdict
disprove_caesar_rot.py,misc,unverified,redundant,ELIMINATED,—,25,,no,no,Verdict is final: ELIMINATED
dragnet_v4.py,infrastructure,ran_with_artifact,report+json,ELIMINATED,0,667B,results/dragnet_v4.json,yes,no,Verdict is final: ELIMINATED
e01_morse_e_extraction.py,misc,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e02_misspelling_deltas.py,misc,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e03_berlin_clock_sweep.py,misc,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e04_hill_cipher.py,misc,ran_no_artifact,inferred,ELIMINATED,—,—,,no,no,Verdict is final: ELIMINATED
e05_layer_two.py,misc,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e06_autokey.py,misc,ran_no_artifact,inferred,ELIMINATED,—,—,,no,no,Verdict is final: ELIMINATED
e_affine_mono_disproof.py,misc,ran_with_artifact,json,ELIMINATED,—,—,results/e_affine_mono_disproof.json,yes,no,Verdict is final: ELIMINATED
e_antipodes_01_hill_transposition.py,e_antipodes,ran_no_artifact,report,ELIMINATED,0,2.7M,,no,no,Verdict is final: ELIMINATED
e_antipodes_02_mono_fixed_running_key.py,e_antipodes,ran_no_artifact,report,ELIMINATED,—,3.5M,,no,no,Verdict is final: ELIMINATED
e_antipodes_03_k3k4_continuity.py,e_antipodes,ran_no_artifact,report,NOISE,9/24,14.9M,,no,no,Verdict is final: NOISE
e_antipodes_04_sculpture_running_key.py,e_antipodes,ran_with_artifact,report+json,NOISE,6/24,"17,238",results/e_antipodes_04/summary.json,yes,no,Verdict is final: NOISE
e_antipodes_05_gromark_vimark_trans.py,e_antipodes,ran_no_artifact,report,ELIMINATED,0,864K,,no,no,Verdict is final: ELIMINATED
e_antipodes_06_tableau_path_key.py,e_antipodes,ran_no_artifact,report,NOISE,7/24,"60,792",,no,no,Verdict is final: NOISE
e_antipodes_07_yar_block_cipher.py,e_antipodes,ran_no_artifact,report,NOISE,6/24,"14,250",,no,no,Verdict is final: NOISE
e_antipodes_08_stream_context.py,e_antipodes,ran_with_artifact,report+json,NOISE,6/24,"2,727",results/e_antipodes_08/summary.json,yes,no,Verdict is final: NOISE
e_antipodes_09_layertwo_trim.py,e_antipodes,ran_no_artifact,report,NOISE,7/24,"12,692",,no,no,Verdict is final: NOISE
e_antipodes_10_coordinate_grid.py,e_antipodes,ran_no_artifact,report,NOISE,6/24,915,,no,no,Verdict is final: NOISE
e_audit_01_crib_robustness.py,e_audit,ran_no_artifact,report,CONFIRMED,—,—,,no,no,Verdict is final: CONFIRMED
e_audit_02_strip_stagger.py,e_audit,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_audit_03_weltzeituhr_fsm.py,e_audit,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_audit_04_cardan_aperture.py,e_audit,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_audit_05_hill_2x2_lyar.py,e_audit,ran_no_artifact,report,ELIMINATED,—,—,,no,no,Verdict is final: ELIMINATED
e_audit_05_scytale_cylinder.py,e_audit,ran_no_artifact,report,ELIMINATED,—,—,,no,no,Verdict is final: ELIMINATED
e_audit_05_tableau_column_keys.py,e_audit,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_audit_05_yar_init_params.py,e_audit,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_audit_06_k3_method_k4.py,e_audit,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_audit_07_k3_running_key.py,e_audit,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_audit_08_delimiter_x_extraction.py,e_audit,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_autokey_bidir_extended.py,misc,ran_with_artifact,json,NOISE,24/24 FP,all seeds 1-96,results/e_autokey_bidir_extended.json,yes,no,Verdict is final: NOISE
e_autokey_bidirectional.py,misc,ran_with_artifact,json,ELIMINATED,0/24,45,results/e_autokey_bidirectional.json,yes,no,Verdict is final: ELIMINATED
e_autokey_bootstrap_00.py,misc,ran_with_artifact,json,NOISE,24/24 FP,480,results/e_autokey_bootstrap_00.json,yes,no,Verdict is final: NOISE
e_autokey_bootstrap_01_crossval.py,misc,ran_with_artifact,json,ELIMINATED,3/24,"1,080",results/e_autokey_bootstrap_01_crossval.json,yes,no,Verdict is final: ELIMINATED
e_bc_gap_analysis.py,misc,ran_with_artifact,json,PROOF,—,analytical,results/e_bc_gap_analysis.json,yes,no,Verdict is final: PROOF
e_bespoke_01_misspelling_mods.py,e_bespoke,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_bespoke_02_abscissa_linear.py,e_bespoke,ran_with_artifact,report+json,NOISE,5/24,—,results/e_bespoke_02.json,yes,no,Verdict is final: NOISE
e_bespoke_03_shift_values.py,e_bespoke,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_bespoke_04_t20_retest.py,e_bespoke,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_bespoke_05_98chars.py,e_bespoke,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_bespoke_06_doubles_cc.py,e_bespoke,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_bespoke_07_1indexed_params.py,e_bespoke,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_bespoke_08_t_alphabet.py,e_bespoke,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_bespoke_09_99chars_cc.py,e_bespoke,ran_no_artifact,report,NOISE,—,—,,no,no,Verdict is final: NOISE
e_bespoke_10_rotation_grid.py,e_bespoke,ran_with_artifact,report+json,ELIMINATED,6/24,444K,results/e_bespoke_10.json,yes,no,Verdict is final: ELIMINATED
e_bespoke_11_tableau_extraction.py,e_bespoke,ran_no_artifact,report,ELIMINATED,4/24,1.2K,,no,no,Verdict is final: ELIMINATED
e_bespoke_12_dryad_lookup.py,e_bespoke,ran_no_artifact,report,ELIMINATED,6/24,38K,,no,no,Verdict is final: ELIMINATED
e_card_cipher_h5_deep.py,misc,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_card_cipher_tests.py,misc,ran_no_artifact,inferred,NOISE,—,—,,no,no,Verdict is final: NOISE
e_cfm_00_drusilla_hypothesis.py,e_cfm,ran_with_artifact,report+json,NOISE,5/24,~8K,results/e_cfm_00_drusilla.json,yes,no,Verdict is final: NOISE
e_cfm_01_running_key_foreign.py,e_cfm,ran_with_artifact,report+json,NOISE,5/24,~12K,results/e_cfm_01_running_key_foreign.json,yes,no,Verdict is final: NOISE
e_cfm_02_mono_running_constrain.py,e_cfm,ran_with_artifact,report+json,UNDERDETERMINED,—,100K,results/e_cfm_02_mono_running.json,yes,no,"Underdetermined by design (too many DOF); new constraints needed, not re-runs"
e_cfm_03_null_extraction.py,e_cfm,ran_with_artifact,report+json,NOISE,0/24,~358K,results/e_cfm_03_null_extraction.json,yes,no,Verdict is final: NOISE
