==========================================================================================
CRYPTIANA VATICAN MATRIX: CUDA Deep Space (KryptosBot Strict Scoring)
==========================================================================================

Generating periodic keys...
Targeting 475,254 periodic keys per alphabet.

Igniting GPU Sweep...
TOTAL PROCESSED      | SPEED                | BATCH TIME   | HITS FOUND
----------------------------------------------------------------------
2.00 Billion         | 415 M/sec            |  4.81s       |     0 hits
3.99 Billion         | 422 M/sec            |  4.73s       |     0 hits
5.99 Billion         | 422 M/sec            |  4.73s       |     0 hits
7.98 Billion         | 411 M/sec            |  4.86s       |     0 hits
9.98 Billion         | 417 M/sec            |  4.79s       |     0 hits
11.98 Billion        | 416 M/sec            |  4.80s       |     0 hits
13.97 Billion        | 416 M/sec            |  4.80s       |     0 hits
15.97 Billion        | 415 M/sec            |  4.81s       |     0 hits
17.96 Billion        | 419 M/sec            |  4.76s       |     0 hits
19.96 Billion        | 423 M/sec            |  4.71s       |     0 hits
21.96 Billion        | 423 M/sec            |  4.72s       |     0 hits
23.95 Billion        | 423 M/sec            |  4.72s       |     0 hits
25.95 Billion        | 423 M/sec            |  4.72s       |     0 hits
27.94 Billion        | 423 M/sec            |  4.72s       |     0 hits
29.94 Billion        | 421 M/sec            |  4.74s       |     0 hits
31.94 Billion        | 420 M/sec            |  4.76s       |     0 hits
33.93 Billion        | 422 M/sec            |  4.73s       |     0 hits
35.93 Billion        | 422 M/sec            |  4.73s       |     0 hits
37.93 Billion        | 419 M/sec            |  4.76s       |     0 hits
39.92 Billion        | 422 M/sec            |  4.73s       |     0 hits
41.92 Billion        | 420 M/sec            |  4.75s       |     0 hits
43.91 Billion        | 416 M/sec            |  4.80s       |     0 hits
45.91 Billion        | 418 M/sec            |  4.77s       |     0 hits
47.91 Billion        | 420 M/sec            |  4.76s       |     0 hits
49.90 Billion        | 418 M/sec            |  4.77s       |     0 hits
51.90 Billion        | 421 M/sec            |  4.75s       |     0 hits
53.89 Billion        | 415 M/sec            |  4.81s       |     0 hits
55.89 Billion        | 415 M/sec            |  4.81s       |     0 hits
57.89 Billion        | 419 M/sec            |  4.76s       |     0 hits
59.88 Billion        | 418 M/sec            |  4.78s       |     0 hits
61.88 Billion        | 418 M/sec            |  4.77s       |     0 hits
63.87 Billion        | 414 M/sec            |  4.82s       |     0 hits
65.87 Billion        | 422 M/sec            |  4.73s       |     0 hits
67.87 Billion        | 416 M/sec            |  4.79s       |     0 hits
69.86 Billion        | 414 M/sec            |  4.82s       |     0 hits
71.86 Billion        | 418 M/sec            |  4.78s       |     0 hits
73.85 Billion        | 421 M/sec            |  4.74s       |     0 hits
75.85 Billion        | 422 M/sec            |  4.73s       |     0 hits
77.85 Billion        | 422 M/sec            |  4.73s       |     0 hits
79.84 Billion        | 419 M/sec            |  4.77s       |     0 hits
81.84 Billion        | 421 M/sec            |  4.75s       |     0 hits
83.83 Billion        | 417 M/sec            |  4.78s       |     0 hits
85.83 Billion        | 418 M/sec            |  4.77s       |     0 hits
87.83 Billion        | 420 M/sec            |  4.75s       |     0 hits
89.82 Billion        | 419 M/sec            |  4.76s       |     0 hits
91.82 Billion        | 421 M/sec            |  4.74s       |     0 hits
93.82 Billion        | 422 M/sec            |  4.74s       |     0 hits
95.81 Billion        | 420 M/sec            |  4.75s       |     0 hits
97.81 Billion        | 422 M/sec            |  4.73s       |     0 hits
99.80 Billion        | 421 M/sec            |  4.74s       |     0 hits
101.80 Billion       | 422 M/sec            |  4.73s       |     0 hits
103.80 Billion       | 421 M/sec            |  4.74s       |     0 hits
105.79 Billion       | 422 M/sec            |  4.73s       |     0 hits
107.79 Billion       | 421 M/sec            |  4.74s       |     0 hits
109.78 Billion       | 422 M/sec            |  4.73s       |     0 hits
111.78 Billion       | 421 M/sec            |  4.74s       |     0 hits
113.78 Billion       | 421 M/sec            |  4.74s       |     0 hits
115.77 Billion       | 422 M/sec            |  4.74s       |     0 hits
117.77 Billion       | 421 M/sec            |  4.74s       |     0 hits
119.76 Billion       | 421 M/sec            |  4.74s       |     0 hits
121.76 Billion       | 421 M/sec            |  4.74s       |     0 hits
123.76 Billion       | 421 M/sec            |  4.74s       |     0 hits
125.75 Billion       | 421 M/sec            |  4.74s       |     0 hits
127.75 Billion       | 421 M/sec            |  4.74s       |     0 hits
129.74 Billion       | 422 M/sec            |  4.74s       |     0 hits
131.74 Billion       | 421 M/sec            |  4.74s       |     0 hits
133.74 Billion       | 421 M/sec            |  4.74s       |     0 hits
135.73 Billion       | 421 M/sec            |  4.74s       |     0 hits
137.73 Billion       | 420 M/sec            |  4.75s       |     0 hits
139.72 Billion       | 420 M/sec            |  4.75s       |     0 hits
141.72 Billion       | 421 M/sec            |  4.74s       |     0 hits
143.72 Billion       | 421 M/sec            |  4.74s       |     0 hits
145.71 Billion       | 421 M/sec            |  4.74s       |     0 hits
147.71 Billion       | 422 M/sec            |  4.74s       |     0 hits
149.71 Billion       | 421 M/sec            |  4.74s       |     0 hits
151.70 Billion       | 420 M/sec            |  4.76s       |     0 hits
153.70 Billion       | 416 M/sec            |  4.80s       |     0 hits
155.69 Billion       | 421 M/sec            |  4.74s       |     0 hits
157.69 Billion       | 419 M/sec            |  4.77s       |     0 hits
159.69 Billion       | 419 M/sec            |  4.76s       |     0 hits
161.68 Billion       | 421 M/sec            |  4.74s       |     0 hits
163.68 Billion       | 419 M/sec            |  4.77s       |     0 hits
165.67 Billion       | 422 M/sec            |  4.73s       |     0 hits
167.67 Billion       | 421 M/sec            |  4.74s       |     0 hits
169.67 Billion       | 421 M/sec            |  4.74s       |     0 hits
171.66 Billion       | 410 M/sec            |  4.87s       |     0 hits
173.66 Billion       | 417 M/sec            |  4.79s       |     0 hits
175.65 Billion       | 419 M/sec            |  4.77s       |     0 hits
177.65 Billion       | 412 M/sec            |  4.85s       |     0 hits
179.65 Billion       | 420 M/sec            |  4.75s       |     0 hits
181.64 Billion       | 419 M/sec            |  4.76s       |     0 hits
183.64 Billion       | 421 M/sec            |  4.75s       |     0 hits
185.63 Billion       | 413 M/sec            |  4.83s       |     0 hits
187.63 Billion       | 415 M/sec            |  4.81s       |     0 hits
189.63 Billion       | 419 M/sec            |  4.77s       |     0 hits
191.62 Billion       | 418 M/sec            |  4.78s       |     0 hits
193.62 Billion       | 420 M/sec            |  4.75s       |     0 hits
195.61 Billion       | 414 M/sec            |  4.82s       |     0 hits
197.61 Billion       | 419 M/sec            |  4.76s       |     0 hits
199.61 Billion       | 416 M/sec            |  4.80s       |     0 hits
201.60 Billion       | 415 M/sec            |  4.80s       |     0 hits
203.60 Billion       | 420 M/sec            |  4.76s       |     0 hits
205.59 Billion       | 417 M/sec            |  4.78s       |     0 hits
207.59 Billion       | 421 M/sec            |  4.74s       |     0 hits
209.59 Billion       | 412 M/sec            |  4.85s       |     0 hits
211.58 Billion       | 415 M/sec            |  4.81s       |     0 hits
213.58 Billion       | 419 M/sec            |  4.76s       |     0 hits
215.58 Billion       | 415 M/sec            |  4.80s       |     0 hits
217.57 Billion       | 416 M/sec            |  4.80s       |     0 hits
219.57 Billion       | 404 M/sec            |  4.94s       |     0 hits
221.56 Billion       | 417 M/sec            |  4.78s       |     0 hits
223.56 Billion       | 416 M/sec            |  4.80s       |     0 hits
225.56 Billion       | 415 M/sec            |  4.81s       |     0 hits
227.55 Billion       | 419 M/sec            |  4.77s       |     0 hits
229.55 Billion       | 417 M/sec            |  4.79s       |     0 hits
231.54 Billion       | 416 M/sec            |  4.80s       |     0 hits
233.54 Billion       | 421 M/sec            |  4.74s       |     0 hits
235.54 Billion       | 421 M/sec            |  4.74s       |     0 hits
237.53 Billion       | 422 M/sec            |  4.73s       |     0 hits
239.53 Billion       | 422 M/sec            |  4.73s       |     0 hits
241.52 Billion       | 422 M/sec            |  4.73s       |     0 hits
243.52 Billion       | 421 M/sec            |  4.74s       |     0 hits
245.52 Billion       | 421 M/sec            |  4.74s       |     0 hits
247.51 Billion       | 421 M/sec            |  4.74s       |     0 hits
249.51 Billion       | 421 M/sec            |  4.74s       |     0 hits
251.50 Billion       | 421 M/sec            |  4.74s       |     0 hits
253.50 Billion       | 421 M/sec            |  4.74s       |     0 hits
255.50 Billion       | 421 M/sec            |  4.74s       |     0 hits
257.49 Billion       | 422 M/sec            |  4.73s       |     0 hits
259.49 Billion       | 422 M/sec            |  4.74s       |     0 hits
261.48 Billion       | 421 M/sec            |  4.74s       |     0 hits
263.48 Billion       | 421 M/sec            |  4.74s       |     0 hits
265.48 Billion       | 422 M/sec            |  4.73s       |     0 hits
267.47 Billion       | 421 M/sec            |  4.74s       |     0 hits
269.47 Billion       | 422 M/sec            |  4.73s       |     0 hits
271.47 Billion       | 421 M/sec            |  4.74s       |     0 hits
273.46 Billion       | 422 M/sec            |  4.73s       |     0 hits
275.46 Billion       | 421 M/sec            |  4.74s       |     0 hits
277.45 Billion       | 422 M/sec            |  4.73s       |     0 hits
279.45 Billion       | 421 M/sec            |  4.74s       |     0 hits
281.45 Billion       | 421 M/sec            |  4.74s       |     0 hits
283.44 Billion       | 421 M/sec            |  4.74s       |     0 hits
285.44 Billion       | 421 M/sec            |  4.74s       |     0 hits
287.43 Billion       | 422 M/sec            |  4.73s       |     0 hits
289.43 Billion       | 421 M/sec            |  4.74s       |     0 hits
291.43 Billion       | 421 M/sec            |  4.74s       |     0 hits
293.42 Billion       | 421 M/sec            |  4.74s       |     0 hits
295.42 Billion       | 421 M/sec            |  4.74s       |     0 hits
297.41 Billion       | 422 M/sec            |  4.73s       |     0 hits
299.41 Billion       | 421 M/sec            |  4.74s       |     0 hits
301.41 Billion       | 422 M/sec            |  4.73s       |     0 hits
303.40 Billion       | 422 M/sec            |  4.73s       |     0 hits
305.40 Billion       | 422 M/sec            |  4.73s       |     0 hits
307.39 Billion       | 421 M/sec            |  4.74s       |     0 hits
309.39 Billion       | 421 M/sec            |  4.74s       |     0 hits
311.39 Billion       | 422 M/sec            |  4.73s       |     0 hits
313.38 Billion       | 421 M/sec            |  4.74s       |     0 hits
315.38 Billion       | 422 M/sec            |  4.73s       |     0 hits
317.37 Billion       | 421 M/sec            |  4.74s       |     0 hits
319.37 Billion       | 422 M/sec            |  4.73s       |     0 hits
321.37 Billion       | 421 M/sec            |  4.74s       |     0 hits
323.36 Billion       | 421 M/sec            |  4.74s       |     0 hits
325.36 Billion       | 422 M/sec            |  4.73s       |     0 hits
327.35 Billion       | 421 M/sec            |  4.74s       |     0 hits
329.35 Billion       | 416 M/sec            |  4.80s       |     0 hits
331.35 Billion       | 421 M/sec            |  4.75s       |     0 hits
333.34 Billion       | 419 M/sec            |  4.77s       |     0 hits
335.34 Billion       | 422 M/sec            |  4.73s       |     0 hits
337.34 Billion       | 421 M/sec            |  4.74s       |     0 hits
339.33 Billion       | 421 M/sec            |  4.74s       |     0 hits
341.33 Billion       | 421 M/sec            |  4.74s       |     0 hits
343.32 Billion       | 422 M/sec            |  4.73s       |     0 hits
345.32 Billion       | 421 M/sec            |  4.74s       |     0 hits
347.32 Billion       | 421 M/sec            |  4.74s       |     0 hits
349.31 Billion       | 421 M/sec            |  4.74s       |     0 hits
351.31 Billion       | 422 M/sec            |  4.74s       |     0 hits
353.30 Billion       | 421 M/sec            |  4.74s       |     0 hits
355.30 Billion       | 421 M/sec            |  4.74s       |     0 hits
357.30 Billion       | 422 M/sec            |  4.73s       |     0 hits
359.29 Billion       | 421 M/sec            |  4.74s       |     0 hits
361.29 Billion       | 422 M/sec            |  4.73s       |     0 hits
363.28 Billion       | 421 M/sec            |  4.74s       |     0 hits
365.28 Billion       | 418 M/sec            |  4.78s       |     0 hits
367.28 Billion       | 412 M/sec            |  4.84s       |     0 hits
369.27 Billion       | 420 M/sec            |  4.75s       |     0 hits
371.27 Billion       | 409 M/sec            |  4.88s       |     0 hits
373.26 Billion       | 414 M/sec            |  4.82s       |     0 hits
375.26 Billion       | 421 M/sec            |  4.74s       |     0 hits
377.26 Billion       | 421 M/sec            |  4.74s       |     0 hits
379.25 Billion       | 421 M/sec            |  4.74s       |     0 hits
381.25 Billion       | 412 M/sec            |  4.85s       |     0 hits
383.24 Billion       | 412 M/sec            |  4.84s       |     0 hits
385.24 Billion       | 413 M/sec            |  4.84s       |     0 hits
387.24 Billion       | 419 M/sec            |  4.77s       |     0 hits
389.23 Billion       | 421 M/sec            |  4.74s       |     0 hits
391.23 Billion       | 421 M/sec            |  4.74s       |     0 hits
393.23 Billion       | 422 M/sec            |  4.73s       |     0 hits
395.22 Billion       | 421 M/sec            |  4.74s       |     0 hits
397.22 Billion       | 421 M/sec            |  4.74s       |     0 hits
399.21 Billion       | 420 M/sec            |  4.75s       |     0 hits
401.21 Billion       | 414 M/sec            |  4.82s       |     0 hits
403.21 Billion       | 417 M/sec            |  4.79s       |     0 hits
405.20 Billion       | 414 M/sec            |  4.82s       |     0 hits
407.20 Billion       | 416 M/sec            |  4.80s       |     0 hits
409.19 Billion       | 417 M/sec            |  4.78s       |     0 hits
411.19 Billion       | 421 M/sec            |  4.74s       |     0 hits
413.19 Billion       | 421 M/sec            |  4.74s       |     0 hits
415.18 Billion       | 421 M/sec            |  4.74s       |     0 hits
417.18 Billion       | 422 M/sec            |  4.74s       |     0 hits
419.17 Billion       | 421 M/sec            |  4.74s       |     0 hits
421.17 Billion       | 421 M/sec            |  4.74s       |     0 hits
423.17 Billion       | 422 M/sec            |  4.73s       |     0 hits
425.16 Billion       | 421 M/sec            |  4.74s       |     0 hits
427.16 Billion       | 422 M/sec            |  4.73s       |     0 hits
429.15 Billion       | 421 M/sec            |  4.74s       |     0 hits
431.15 Billion       | 422 M/sec            |  4.73s       |     0 hits
433.15 Billion       | 422 M/sec            |  4.73s       |     0 hits
435.14 Billion       | 422 M/sec            |  4.73s       |     0 hits
437.14 Billion       | 422 M/sec            |  4.73s       |     0 hits
439.13 Billion       | 422 M/sec            |  4.73s       |     0 hits
441.13 Billion       | 422 M/sec            |  4.73s       |     0 hits
443.13 Billion       | 422 M/sec            |  4.73s       |     0 hits
445.12 Billion       | 422 M/sec            |  4.73s       |     0 hits
447.12 Billion       | 422 M/sec            |  4.73s       |     0 hits
449.12 Billion       | 422 M/sec            |  4.73s       |     0 hits
451.11 Billion       | 422 M/sec            |  4.73s       |     0 hits
453.11 Billion       | 422 M/sec            |  4.73s       |     0 hits
455.10 Billion       | 422 M/sec            |  4.73s       |     0 hits
457.10 Billion       | 422 M/sec            |  4.73s       |     0 hits
459.10 Billion       | 422 M/sec            |  4.73s       |     0 hits
461.09 Billion       | 422 M/sec            |  4.73s       |     0 hits
463.09 Billion       | 423 M/sec            |  4.72s       |     0 hits
465.08 Billion       | 422 M/sec            |  4.73s       |     0 hits
467.08 Billion       | 422 M/sec            |  4.73s       |     0 hits
469.08 Billion       | 422 M/sec            |  4.73s       |     0 hits
471.07 Billion       | 422 M/sec            |  4.73s       |     0 hits
473.07 Billion       | 422 M/sec            |  4.73s       |     0 hits
475.06 Billion       | 422 M/sec            |  4.73s       |     0 hits
477.06 Billion       | 422 M/sec            |  4.73s       |     0 hits
479.06 Billion       | 422 M/sec            |  4.73s       |     0 hits
481.05 Billion       | 422 M/sec            |  4.73s       |     0 hits
483.05 Billion       | 423 M/sec            |  4.72s       |     0 hits
485.04 Billion       | 422 M/sec            |  4.73s       |     0 hits
487.04 Billion       | 422 M/sec            |  4.73s       |     0 hits
489.04 Billion       | 422 M/sec            |  4.73s       |     0 hits
491.03 Billion       | 422 M/sec            |  4.73s       |     0 hits
493.03 Billion       | 423 M/sec            |  4.72s       |     0 hits
495.02 Billion       | 422 M/sec            |  4.73s       |     0 hits
497.02 Billion       | 422 M/sec            |  4.73s       |     0 hits
499.02 Billion       | 422 M/sec            |  4.73s       |     0 hits
501.01 Billion       | 422 M/sec            |  4.73s       |     0 hits
503.01 Billion       | 422 M/sec            |  4.73s       |     0 hits
505.00 Billion       | 422 M/sec            |  4.73s       |     0 hits
507.00 Billion       | 422 M/sec            |  4.73s       |     0 hits
509.00 Billion       | 422 M/sec            |  4.73s       |     0 hits
510.99 Billion       | 422 M/sec            |  4.73s       |     0 hits
512.99 Billion       | 422 M/sec            |  4.73s       |     0 hits
514.99 Billion       | 416 M/sec            |  4.79s       |     0 hits
516.98 Billion       | 417 M/sec            |  4.78s       |     0 hits
518.98 Billion       | 414 M/sec            |  4.82s       |     0 hits
520.97 Billion       | 415 M/sec            |  4.81s       |     0 hits
522.97 Billion       | 421 M/sec            |  4.74s       |     0 hits
524.97 Billion       | 422 M/sec            |  4.73s       |     0 hits
526.96 Billion       | 421 M/sec            |  4.74s       |     0 hits
528.96 Billion       | 421 M/sec            |  4.75s       |     0 hits
530.95 Billion       | 421 M/sec            |  4.75s       |     0 hits
532.95 Billion       | 420 M/sec            |  4.75s       |     0 hits
534.95 Billion       | 420 M/sec            |  4.75s       |     0 hits
536.94 Billion       | 421 M/sec            |  4.75s       |     0 hits
538.94 Billion       | 418 M/sec            |  4.77s       |     0 hits
540.93 Billion       | 410 M/sec            |  4.87s       |     0 hits
542.93 Billion       | 412 M/sec            |  4.85s       |     0 hits
544.93 Billion       | 413 M/sec            |  4.83s       |     0 hits
546.92 Billion       | 414 M/sec            |  4.82s       |     0 hits
548.92 Billion       | 417 M/sec            |  4.78s       |     0 hits
550.91 Billion       | 421 M/sec            |  4.74s       |     0 hits
552.91 Billion       | 420 M/sec            |  4.75s       |     0 hits
554.91 Billion       | 419 M/sec            |  4.77s       |     0 hits
556.90 Billion       | 420 M/sec            |  4.76s       |     0 hits
558.90 Billion       | 417 M/sec            |  4.78s       |     0 hits
560.89 Billion       | 411 M/sec            |  4.86s       |     0 hits
562.89 Billion       | 422 M/sec            |  4.73s       |     0 hits
564.89 Billion       | 422 M/sec            |  4.73s       |     0 hits
566.88 Billion       | 423 M/sec            |  4.72s       |     0 hits
568.88 Billion       | 422 M/sec            |  4.73s       |     0 hits
570.88 Billion       | 422 M/sec            |  4.73s       |     0 hits
572.87 Billion       | 422 M/sec            |  4.73s       |     0 hits
574.87 Billion       | 423 M/sec            |  4.72s       |     0 hits
576.86 Billion       | 422 M/sec            |  4.73s       |     0 hits
578.86 Billion       | 422 M/sec            |  4.72s       |     0 hits
580.86 Billion       | 423 M/sec            |  4.72s       |     0 hits
582.85 Billion       | 422 M/sec            |  4.73s       |     0 hits
584.85 Billion       | 423 M/sec            |  4.72s       |     0 hits
586.84 Billion       | 422 M/sec            |  4.73s       |     0 hits
588.84 Billion       | 422 M/sec            |  4.73s       |     0 hits
590.84 Billion       | 422 M/sec            |  4.73s       |     0 hits
592.83 Billion       | 422 M/sec            |  4.73s       |     0 hits
594.83 Billion       | 422 M/sec            |  4.72s       |     0 hits
596.82 Billion       | 422 M/sec            |  4.73s       |     0 hits
598.82 Billion       | 422 M/sec            |  4.73s       |     0 hits
600.82 Billion       | 422 M/sec            |  4.73s       |     0 hits
602.81 Billion       | 420 M/sec            |  4.75s       |     0 hits
604.81 Billion       | 419 M/sec            |  4.77s       |     0 hits
606.80 Billion       | 421 M/sec            |  4.74s       |     0 hits
608.80 Billion       | 421 M/sec            |  4.74s       |     0 hits
610.80 Billion       | 422 M/sec            |  4.73s       |     0 hits
612.79 Billion       | 422 M/sec            |  4.73s       |     0 hits
614.79 Billion       | 422 M/sec            |  4.73s       |     0 hits
616.78 Billion       | 421 M/sec            |  4.74s       |     0 hits
618.78 Billion       | 415 M/sec            |  4.81s       |     0 hits
620.78 Billion       | 419 M/sec            |  4.76s       |     0 hits
622.77 Billion       | 422 M/sec            |  4.73s       |     0 hits
624.77 Billion       | 422 M/sec            |  4.73s       |     0 hits
626.76 Billion       | 422 M/sec            |  4.73s       |     0 hits
628.76 Billion       | 422 M/sec            |  4.73s       |     0 hits
630.76 Billion       | 422 M/sec            |  4.73s       |     0 hits
632.75 Billion       | 422 M/sec            |  4.73s       |     0 hits
634.75 Billion       | 422 M/sec            |  4.73s       |     0 hits
636.75 Billion       | 422 M/sec            |  4.73s       |     0 hits
638.74 Billion       | 412 M/sec            |  4.85s       |     0 hits
640.74 Billion       | 412 M/sec            |  4.84s       |     0 hits
642.73 Billion       | 419 M/sec            |  4.77s       |     0 hits
644.73 Billion       | 420 M/sec            |  4.75s       |     0 hits
646.73 Billion       | 419 M/sec            |  4.77s       |     0 hits
648.72 Billion       | 419 M/sec            |  4.77s       |     0 hits
650.72 Billion       | 419 M/sec            |  4.76s       |     0 hits
652.71 Billion       | 419 M/sec            |  4.77s       |     0 hits
654.71 Billion       | 419 M/sec            |  4.77s       |     0 hits
656.71 Billion       | 410 M/sec            |  4.87s       |     0 hits
658.70 Billion       | 411 M/sec            |  4.85s       |     0 hits
660.70 Billion       | 412 M/sec            |  4.84s       |     0 hits
662.69 Billion       | 411 M/sec            |  4.85s       |     0 hits
664.69 Billion       | 412 M/sec            |  4.85s       |     0 hits
666.69 Billion       | 411 M/sec            |  4.85s       |     0 hits
668.68 Billion       | 411 M/sec            |  4.86s       |     0 hits
670.68 Billion       | 420 M/sec            |  4.76s       |     0 hits
672.67 Billion       | 420 M/sec            |  4.76s       |     0 hits
674.67 Billion       | 418 M/sec            |  4.77s       |     0 hits
676.67 Billion       | 419 M/sec            |  4.76s       |     0 hits
678.66 Billion       | 417 M/sec            |  4.79s       |     0 hits
680.66 Billion       | 419 M/sec            |  4.77s       |     0 hits
682.65 Billion       | 420 M/sec            |  4.76s       |     0 hits
684.65 Billion       | 419 M/sec            |  4.76s       |     0 hits
686.65 Billion       | 419 M/sec            |  4.76s       |     0 hits
688.64 Billion       | 419 M/sec            |  4.77s       |     0 hits
690.64 Billion       | 419 M/sec            |  4.76s       |     0 hits
692.64 Billion       | 419 M/sec            |  4.76s       |     0 hits
694.63 Billion       | 418 M/sec            |  4.77s       |     0 hits
696.63 Billion       | 419 M/sec            |  4.76s       |     0 hits
698.62 Billion       | 419 M/sec            |  4.76s       |     0 hits
700.62 Billion       | 419 M/sec            |  4.76s       |     0 hits
